time,ask,bid,ticker
1614020505405000000,317.812,317.648,GS
1614020506421000000,317.813,317.66700000000003,GS
1614020509959000000,317.813,317.707,GS
1614020510009000000,317.902,317.648,GS
1614020511102000000,317.843,317.647,GS
1614020511678000000,317.84200000000004,317.608,GS
1614020511728000000,317.84200000000004,317.668,GS
1614020511844000000,317.78200000000004,317.668,GS
1614020512002000000,317.763,317.66700000000003,GS
1614020516096000000,317.753,317.66700000000003,GS
1614020516240000000,317.752,317.608,GS
1614020516290000000,317.712,317.608,GS
1614020516795000000,317.713,317.617,GS
1614020517241000000,317.712,317.608,GS
1614020517731000000,317.763,317.617,GS
1614020517831000000,317.763,317.687,GS
1614020517882000000,317.762,317.588,GS
1614020518485000000,317.832,317.588,GS
1614020518603000000,317.832,317.728,GS
1614020518654000000,317.832,317.588,GS
1614020518988000000,317.833,317.71700000000004,GS
1614020520397000000,20.863000000000003,20.847,AAL
1614020521645000000,317.932,317.718,GS
1614020521648000000,20.872,20.858,AAL
1614020522546000000,317.822,317.718,GS
1614020523672000000,317.932,317.718,GS
1614020525152000000,317.863,317.71700000000004,GS
1614020526202000000,20.863000000000003,20.847,AAL
1614020529177000000,317.783,317.647,GS
1614020529227000000,317.762,317.578,GS
1614020529300000000,317.762,317.668,GS
1614020529350000000,317.78200000000004,317.668,GS
1614020530608000000,317.832,317.668,GS
1614020531298000000,317.783,317.66700000000003,GS
1614020531406000000,317.933,317.747,GS
1614020531574000000,317.932,317.738,GS
1614020532428000000,317.932,317.668,GS
1614020532478000000,317.933,317.747,GS
1614020532659000000,317.933,317.66700000000003,GS
1614020532955000000,317.933,317.737,GS
1614020533005000000,317.932,317.668,GS
1614020533569000000,317.933,317.65700000000004,GS
1614020533673000000,317.933,317.677,GS
1614020533997000000,317.913,317.677,GS
1614020534677000000,20.872,20.848000000000003,AAL
1614020534736000000,20.863000000000003,20.847,AAL
1614020535028000000,20.872,20.848000000000003,AAL
1614020536270000000,20.873,20.857,AAL
1614020539302000000,317.91200000000003,317.738,GS
1614020541070000000,317.91200000000003,317.678,GS
1614020541479000000,317.913,317.737,GS
1614020541764000000,317.913,317.677,GS
1614020542015000000,317.913,317.737,GS
1614020542684000000,317.91200000000003,317.678,GS
1614020542810000000,317.91200000000003,317.738,GS
1614020546121000000,317.903,317.587,GS
1614020546347000000,317.822,317.588,GS
1614020546498000000,317.902,317.578,GS
1614020546548000000,317.833,317.577,GS
1614020546749000000,317.832,317.618,GS
1614020547611000000,317.833,317.687,GS
1614020548158000000,317.832,317.618,GS
1614020549222000000,317.833,317.687,GS
1614020549539000000,20.883000000000003,20.867,AAL
1614020551136000000,317.833,317.65700000000004,GS
1614020552783000000,317.773,317.65700000000004,GS
1614020552935000000,317.773,317.687,GS
1614020552985000000,317.783,317.687,GS
1614020553103000000,317.783,317.65700000000004,GS
1614020553629000000,317.78200000000004,317.688,GS
1614020553806000000,317.783,317.65700000000004,GS
1614020553879000000,317.78200000000004,317.688,GS
1614020553988000000,317.783,317.65700000000004,GS
1614020554339000000,317.833,317.65700000000004,GS
1614020555673000000,317.832,317.688,GS
1614020556019000000,317.833,317.65700000000004,GS
1614020556075000000,20.893,20.867,AAL
1614020556958000000,20.882,20.868,AAL
1614020557107000000,20.893,20.867,AAL
1614020557549000000,20.883000000000003,20.867,AAL
1614020561230000000,317.832,317.688,GS
1614020562561000000,317.833,317.65700000000004,GS
1614020563001000000,317.832,317.608,GS
1614020563086000000,20.893,20.877,AAL
1614020563629000000,317.832,317.688,GS
1614020565917000000,20.902,20.888,AAL
1614020566226000000,317.762,317.688,GS
1614020567101000000,317.762,317.628,GS
1614020567152000000,317.763,317.687,GS
1614020567741000000,317.762,317.628,GS
1614020567808000000,317.763,317.687,GS
1614020567909000000,317.833,317.627,GS
1614020568008000000,317.833,317.687,GS
